,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
FWF (Austria),16.228070175438596,8.811475409836065,9.537166900420758,12.269938650306749,12.334801762114537,12.341772151898734,12.218963831867057,13.533151680290645,14.888123924268504,13.344453711426189,14.027476500361532,14.305084745762711,12.043301759133964,13.703703703703704,14.387211367673181
DFG (Germany),12.0,11.47239263803681,9.944277753964851,10.104895104895105,12.272862675007447,11.41670991177997,12.629213483146067,12.584573748308525,13.345195729537366,12.655350106092754,13.621262458471762,13.264899342236397,13.278688524590162,14.507042253521126,13.673119333496691
Wellcome (UK),9.92,10.390243902439025,9.429569266589057,11.224806201550388,12.28020419739081,12.449899799599198,12.850947272312258,15.741908364859183,16.673076923076923,16.88913607712273,16.465331788846598,16.871476073442242,15.397401027500756,13.862348178137651,13.40019730351858
SNSF (Switzerland),12.76595744680851,8.908685968819599,10.648148148148149,12.69276393831554,14.184397163120568,13.652482269503546,12.802275960170698,14.716981132075471,15.597410241318421,15.145005370569281,14.68950749464668,14.624781849912742,14.040980853207927,14.193056085463562,12.739296902192828
NIH (USA),10.823064403627065,10.806080147397513,10.585079388095412,12.34849393975759,13.059827141093278,13.343503686753113,13.46751257930431,14.357429718875503,14.47291575412469,13.496004472360157,14.399419183091775,14.331930681869597,13.63665810101708,13.460975466947714,12.690108066174746
Netherlands Organisation for Scientific Research (Netherlands),9.408602150537634,10.973084886128365,8.488964346349745,12.788906009244993,11.373092926490985,9.699321047526672,11.101694915254237,12.097407698350352,13.071895424836603,13.064971751412429,14.964370546318289,12.78038601982264,13.197360527894423,13.47985347985348,12.670565302144249
NSF (USA),12.35906331309627,13.827993254637436,12.788676434070027,13.759876662169976,14.812898775650973,14.308086560364464,14.696050513804632,14.913823425958494,14.81,13.65701783911141,14.613423959218352,13.781384380635316,12.86942335445818,12.82877432930037,12.520506210452309
Australian Research Council (Australia),13.246753246753245,13.19073083778966,10.024752475247526,12.393162393162394,13.681783243658725,12.842242503259452,12.34501347708895,13.366336633663368,17.491926803013992,12.171222279525528,14.539007092198581,13.571703191080353,13.907068062827225,13.296178343949045,12.470119521912352
American Heart Association (USA),9.865470852017937,7.7142857142857135,6.864988558352403,5.772811918063315,7.3584905660377355,7.678883071553229,9.316770186335404,7.162534435261708,11.717709720372836,8.545918367346939,11.938775510204081,12.623762376237623,12.889637742207244,13.2895816242822,12.308868501529052
EC (Europe),13.73070782331027,12.629558541266794,11.70018281535649,13.410470409711683,12.949640287769784,12.870627429205998,12.46819338422392,13.964851446134446,14.536774372102679,12.960089379926758,13.679534313725492,12.805351747949937,11.882510013351135,13.287441691952356,12.224165209426264
Ministerio de Economia y Competitividad (Spain),10.305343511450381,13.107822410147993,9.92,13.486842105263158,15.27403414195867,11.303744798890431,13.519091847265221,12.987551867219919,11.762344439983941,11.276948590381426,11.471927162367223,10.434782608695652,11.65778752742087,11.9520264681555,12.205270457697642
National Science Centre (Poland),0.0,0.0,6.521739130434782,10.471204188481675,12.23404255319149,7.564575645756458,11.28133704735376,8.498253783469151,10.164835164835164,9.81012658227848,12.282608695652174,9.323173464813985,9.865951742627347,13.202933985330073,12.179887570268583
Natural Sciences and Engineering Research Council of Canada (Canada),16.07565011820331,12.28615863141524,10.939226519337018,12.977099236641221,14.643399089529591,14.435879467414155,13.628522139160438,16.295546558704455,15.105162523900573,13.562470970738506,14.318885448916408,12.088650100738752,13.610406091370558,13.135153819564465,12.045594577942083
UK Research and Innovation (UK),10.487024528972627,10.48298572996707,8.368849283223556,10.925688204250465,10.808190960862717,11.023222796876585,10.609404175861483,12.40630258528377,13.88669490916924,13.204542307159672,13.8939559771373,13.058473946726096,11.880829015544043,11.44445074576079,11.63756806826475
Research Foundation Flanders (Belgium),11.811023622047244,12.994350282485875,12.692307692307692,15.01416430594901,13.541666666666666,12.727272727272727,15.384615384615385,14.263322884012538,12.416555407209612,14.713216957605985,13.625866050808314,13.787085514834205,15.508021390374333,13.72745490981964,11.512844909609896
Russian Science Foundation (Russia),14.285714285714285,12.5,20.0,30.76923076923077,18.181818181818183,16.73469387755102,18.663594470046082,15.412186379928317,17.62402088772846,15.6355455568054,14.671814671814673,12.772998014559894,10.273327049952876,10.14808362369338,11.291369240752758
Japan Agency for Medical Research and Development (Japan),100.0,0.0,14.285714285714285,0.0,0.0,12.345679012345679,13.343108504398826,14.814814814814813,12.62214983713355,11.938296445338699,12.808641975308642,12.594570538495772,11.376465479808944,11.04946833102173,11.167279411764707
China Scholarship Council (China),7.936507936507936,15.238095238095239,12.5,14.942528735632186,9.02061855670103,11.074380165289256,11.66116611661166,11.838565022421525,10.941475826972011,11.134307585247043,11.141452758055708,10.948509485094851,11.910926980838944,11.670918367346939,11.05072463768116
Fundacao de Amparo a Pesquisa do Estado de Sao Paulo (Brazil),10.921501706484642,6.88836104513064,8.116385911179174,11.66116611661166,9.554140127388536,11.310452418096723,12.300319488817891,13.007570543702684,13.39622641509434,13.693467336683419,13.720173535791758,12.301013024602025,10.875063227111784,10.812356979405035,10.941320293398533
Japan Science and Technology Agency (Japan),8.450704225352112,10.0,8.823529411764707,11.134020618556702,14.555765595463138,11.48936170212766,15.012406947890819,14.5985401459854,14.455231930960085,10.553814002089865,10.896898575020955,9.823321554770319,9.338747099767982,9.824957651044608,10.772257747171668
Swedish Research Council (Sweden),11.54639175257732,11.234177215189874,9.645232815964523,13.506493506493506,12.15170278637771,14.000000000000002,11.647254575707153,11.490384615384615,14.386129334582943,11.52129817444219,11.59369527145359,12.041884816753926,11.896135265700483,10.58574453069866,10.722768917543265
European Regional Development Fund (EU),13.77551020408163,13.846153846153847,11.312849162011174,13.108614232209737,14.317673378076062,13.410404624277456,12.935741285174295,13.199473337722187,13.161358252171624,11.769059955588453,11.66402991514454,10.603438329295027,10.02134724857685,9.997059688326964,10.376675117710974
"Ministry of Education, Culture, Sports, Science and Technology (Japan)",11.654135338345863,11.50990099009901,9.0990990990991,10.448678549477567,12.250879249706918,11.989528795811518,12.406716417910447,13.681241184767279,12.708537782139354,11.745090774360873,12.709030100334449,10.158102766798418,9.954375777685607,11.04417670682731,10.26252983293556
Bill and Melinda Gates Foundation (USA),5.434782608695652,5.691056910569105,4.156479217603912,5.1020408163265305,6.020558002936858,6.8557919621749415,5.4713804713804715,6.70886075949367,9.130434782608695,8.969276511397423,10.86867023466447,9.933309933309934,11.798396334478808,9.761036857027136,9.770569620253164
Fundacao para a Ciencia e a Tecnologia (Portugal),11.851851851851853,14.027149321266968,11.62079510703364,14.376321353065538,15.427509293680297,16.48745519713262,12.676056338028168,14.676616915422885,11.860718171926006,12.118713932399011,11.307420494699647,9.896068685042927,8.991399530883502,8.023715415019762,9.355416293643689
National Key Research and Development Program (China),0.0,0.0,0.0,0.0,33.33333333333333,0.0,10.92896174863388,12.078272604588394,10.844250363901018,11.74655908875178,12.683182135380322,14.382896015549077,12.760025734505684,10.885631967931856,9.22242314647378
Ministry of Science and Technology (Taiwan),10.10752688172043,13.28125,11.494252873563218,13.296178343949045,12.405200433369448,10.015847860538827,9.851033157135992,9.97872340425532,9.751176866173504,8.186010760953113,8.32401342067423,8.256763654925983,7.256383533090151,7.76283618581907,9.209302325581396
Bundesministerium fur Bildung und Forschung (Germany),11.369509043927648,12.387791741472173,10.948905109489052,11.59563924677899,11.69940222032451,14.012738853503185,12.431318681318682,11.875,13.884386817936251,11.866178776790381,11.802902979373568,11.230964467005077,11.019892642879697,11.856033874382499,8.831168831168831
Canadian Institutes of Health Research (Canada),7.547169811320755,5.76307363927428,5.53956834532374,6.623681125439624,7.207207207207207,7.732497387669801,8.00189393939394,8.88689407540395,8.076422058184976,8.223552894211576,9.11895783339047,8.503218884120171,8.4922916122289,8.754027926960257,8.749356664951106
NSFC (China),9.370816599732262,9.291698400609292,8.15697554961989,9.357011635027558,8.427862460120524,9.150956378147791,8.222479275110855,8.250448393934454,8.340601831661578,8.130225412863009,9.270588235294118,10.278752672556376,10.014189848345996,9.126700726986394,8.53756933938477
Italian Ministry (Italy),16.0,15.867158671586715,10.182767624020887,12.523719165085389,10.427350427350428,10.664819944598337,10.914051841746248,13.205282112845138,13.374233128834357,11.2182296231376,10.198135198135198,10.350877192982457,9.63302752293578,9.30313588850174,8.132147395171538
China Postdoctoral Science Foundation (China),12.76595744680851,3.9603960396039604,9.937888198757763,9.59409594095941,7.597535934291582,8.99854862119013,8.657587548638132,8.80253766851705,7.6923076923076925,9.131293188548865,10.361067503924646,10.81576535288726,10.13096120583148,9.920634920634921,8.064516129032258
JSPS (Japan),9.06515580736544,13.35559265442404,9.469696969696969,10.66591422121896,11.152589827344844,10.869565217391305,10.972568578553615,10.412394622920939,10.256410256410255,9.810068227918126,10.208546011375237,8.74834993399736,7.8545624053140655,9.088551795669648,8.039563783920872
National Health and Medical Research Council (Australia),9.037328094302556,9.849521203830369,5.104166666666667,8.692365835222978,9.016949152542372,9.113149847094801,8.660570199031739,9.02101486417222,11.183902667290594,8.792184724689166,9.81060606060606,9.843400447427292,7.649820491576913,7.776096822995461,7.765344184469311
Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior (Brazil),8.921933085501859,9.30232558139535,9.530791788856305,12.02127659574468,10.921248142644874,11.174968071519796,12.253968253968255,12.205343111576742,13.01558203483043,11.343283582089553,11.372549019607844,10.918187168922895,9.243937232524964,8.815254767114723,7.4601559850796875
NRF (Korea),7.592190889370933,6.605922551252847,5.593922651933702,7.734806629834254,6.582633053221289,7.2117962466487935,7.119314436387607,7.332467050306294,7.020176755044188,6.160303276468995,6.674743914528032,6.42499536436121,6.433737202967972,7.1096064325010575,6.170852114187594
National Institute for Health Research (UK),3.858520900321544,3.2590051457975986,3.5921205098493627,4.093567251461988,4.5584045584045585,4.659188955996549,5.331957344341245,5.796178343949045,6.524184476940382,6.221662468513854,6.640959725792631,7.113958192852326,6.42943097816744,6.112087482913493,6.114769520225776
